bkID,Title,Maintext,coding,filsts,updated_by
25658,"Manufacturing engineering and technology : Kalpakjian, Serope,","<001>Manufacturing engineering and technology : Kalpakjian, Serope,\u001e<002>Serope, Kalpakjian\u001e<003>\u001e<004>Kalpakjian, Serope,\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Reading, Mass.\u001e<0010>Addison-Wesley\u001e<0011>c1995\u001e<0012>3rd\u001e<0013>xx, 1271 p. : ill. ; 24 cm.\u001e<0014>\u001e<0015>\u001e<0016>\u001e<0017>\u001e<0018>Includes bibliographical references and index.\u001e<0019>0201538466\u001e<0020>Production engineering.; Manufacturing processes.\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>670.42 K11m 1995\u001e<0026>MLIB00000778\u001e<0027>English\u001e<0028>Circulation Section\u001e<0029>\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","GC-ESD","","geo"
25806,"Amazing healing plants","<001>Amazing healing plants\u001e<002>JC Kurian\u001e<003>\u001e<004>Kurian, JC\u001e<005>\u001e<006>Varghese, TI [Editor].;Isaiah, Diamond [Editor]\u001e<007>\u001e<008>\u001e<009>Manila, Philippines ; Saraburi, Thailand\u001e<0010>Philippine Publishing House\u001e<0011>2010\u001e<0012>\u001e<0013>xi, 203 pages, Volume 1.\u001e<0014>Illustrations, figures and tables (colored).\u001e<0015>25 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes index.\u001e<0019>9789715812115\u001e<0020>Healing plants.;Medicinal plants.;Medical botany.\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>581.634 K9685 2010\u001e<0026>MLIB00014234;MLIB00031793;MLIB00031794\u001e<0027>English\u001e<0028>Reserve/Agri-Science Section\u001e<0029>26025;31793;31794\u001e<0030>3\u001e<0031>3\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>1\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>MLIB00031793.jpg\u001e","GC-PLA","yes","geo"
27319,"Sociology & anthropology: an introduction","<001>Sociology & anthropology: an introduction\u001e<002>\u001e<003>\u001e<004>Panopio, Isabel S.\u001e<005>\u001e<006>Rolda, Realidad\u001e<007>\u001e<008>\u001e<009>Manila\u001e<0010>Goodwill Trading Co., Inc.\u001e<0011>1988\u001e<0012>\u001e<0013>263 p.\u001e<0014>\u001e<0015>25 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes bibliographic references and index\u001e<0019>9711105292\u001e<0020>Sociology.; Anthropology\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-SOC 301 P192 1988\u001e<0026>MLIB00008651; MLIB00017901; MLIB00010890; MLIB00024628\u001e<0027>English\u001e<0028>GC-SOC -Circulation\u001e<0029>17120; 27561; 17117; 30628\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","ginalyn"
27332,"Meteorology : for maritime schools in the Philippines","<001>Meteorology : for maritime schools in the Philippines\u001e<002>\u001e<003>\u001e<004>Ventosa, Florencio T.\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Manila\u001e<0010>Rex Book Store, Inc.\u001e<0011>1998\u001e<0012>\u001e<0013>147 p.\u001e<0014>\u001e<0015>17 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>9712322319\u001e<0020>Meteorology\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-EAR 551.5 M46m 1998/ GC-EAR 551.5 M46m 1998\u001e<0026>MLIB00008672; MLIB00008743\u001e<0027>English\u001e<0028>GC-EAR - Circulation\u001e<0029>21785; 21785\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>1\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","weng"
27639,"Human resource management","<001>Human resource management\u001e<002>\u001e<003>\u001e<004>Corpuz, Crispina R.\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Manila, Philippines\u001e<0010>Rex Bookstore\u001e<0011>2013\u001e<0012>3rd ed.\u001e<0013>294 p.\u001e<0014>\u001e<0015>25 cm.\u001e<0016>\u001e<0017>\u001e<0018>Includes bibliographic references and index\u001e<0019>9789712362620\u001e<0020>Human resource management\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-HUR 658.3 C3198 2013\u001e<0026>MLIB00021030\u001e<0027>English\u001e<0028>GC-HUR-Circulation\u001e<0029>21320; 485.00\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>\u001e<0040>\u001e<0041>\u001e<0042>\u001e","","yes","ginalyn"
48374,"Butterflies and Moths","<001>Butterflies and Moths\u001e<002>\u001e<003>\u001e<004>Morris, Dean\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Toronto\u001e<0010>Raintree Childrens Books\u001e<0011>1977\u001e<0012>\u001e<0013>48p.\u001e<0014>\u001e<0015>23 cm\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>0839300107\u001e<0020>Lepidoptera-Juvenile Literature\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-EPM 594.78 M8261 1977\u001e<0026>MLIB00019750\u001e<0027>ENGLISH\u001e<0028>CIRCULATION\u001e<0029>54\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","ginalyn"
48405,"di Fiore`s Atlas of Histology with Functional Correlations","<001>di Fiore`s Atlas of Histology with Functional Correlations\u001e<002>\u001e<003>\u001e<004>eroschenko, Victor P.\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>London\u001e<0010>Williams & Wilkins\u001e<0011>1996\u001e<0012>\u001e<0013>362 p.\u001e<0014>\u001e<0015>\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>0683028189\u001e<0020>Histology--atlases\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-GenRef 611.018 E6d 1996\u001e<0026>MLIB00011443\u001e<0027>ENGLISH\u001e<0028>GC-GenRef - Circulation\u001e<0029>18643\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","ginalyn"
48439,"Filipino inventors as entrepreneurs: a casbook","<001>Filipino inventors as entrepreneurs: a casbook\u001e<002>\u001e<003>\u001e<004>\u001e<005>\u001e<006>\u001e<007>\u001e<008>The Technology Application and Promotion Institute Department of Science and Technology\u001e<009>\u001e<0010>The Technology Application and Promotion Institute Department of Science and Technology\u001e<0011>1992\u001e<0012>\u001e<0013>165 p.\u001e<0014>\u001e<0015>25 cm\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>9718838007\u001e<0020>Entrpreneurs - Business people\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-ENT 338.092 T11f 1992\u001e<0026>MLIB00024651\u001e<0027>ENGLISH\u001e<0028>GC-ENT - CIRCULATION\u001e<0029>1130\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","anne"
48441,"Panitikan ng Iba`t ibang rehiyon ng Pilipinas","<001>Panitikan ng Iba`t ibang rehiyon ng Pilipinas\u001e<002>\u001e<003>\u001e<004>Espina, Leticia D.\u001e<005>\u001e<006>Plasencia, Norly R; Velasco, Henry M.\u001e<007>\u001e<008>\u001e<009>Manila\u001e<0010>Mindshapes Co. Inc.\u001e<0011>2013\u001e<0012>\u001e<0013>315 p.\u001e<0014>\u001e<0015>25 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>9789719905509\u001e<0020>Philippine Literature - History and criticism\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>FIL 889.21 Es6 2013\u001e<0026>mlib00016762\u001e<0027>ENGLISH\u001e<0028>FIL - CIRCULATION\u001e<0029>27502\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","anne"
48444,"Natural resources economics - basic principles","<001>Natural resources economics - basic principles\u001e<002>\u001e<003>\u001e<004>Pine, Wilfred\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Manhattan,\u001e<0010>Professor of Agricultural Economics\u001e<0011>1977\u001e<0012>\u001e<0013>64 p.\u001e<0014>\u001e<0015>22 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>\u001e<0020>Economics\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-ECO 330 P6525 1977\u001e<0026>MLIB00019814\u001e<0027>ENGLISH\u001e<0028>GC-ECO - CIRCULATION\u001e<0029>3373\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","anne"
48445,"Araling pandaigdig","<001>Araling pandaigdig\u001e<002>\u001e<003>\u001e<004>Santiago, Aurora L.\u001e<005>\u001e<006>Manaay, Eliseo D.; Arias, Dolores; Mendoza, Mary Ann L.\u001e<007>\u001e<008>\u001e<009>Valenzuela City\u001e<0010>Jo-Es Publishing House, Inc.\u001e<0011>2012\u001e<0012>\u001e<0013>532 p.\u001e<0014>ill; colored pic\u001e<0015>25 cm\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>978-971-655-390-1\u001e<0020>Literature; literature and globalization\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-HIS 809 Ar2012\u001e<0026>MLIB00023995\u001e<0027>ENGLISH\u001e<0028>GC- HIS - CIRCULATION\u001e<0029>14364\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","yes","anne"
48447,"Nursing process handbook","<001>Nursing process handbook\u001e<002>\u001e<003>\u001e<004>Hickey, Patricia W.\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Toronto\u001e<0010>The C.V. Mosby Company\u001e<0011>1990\u001e<0012>\u001e<0013>229 p.\u001e<0014>\u001e<0015>19 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>0-8016-6041-6\u001e<0020>Nursing- handbook , manuals, etc.\u001e<0021>\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-HEA 610.73 H54n 1990\u001e<0026>MLIB00024407\u001e<0027>ENGLISH\u001e<0028>GC-HEA - CIRCULATION\u001e<0029>17790 c.1\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>\u001e","","","anne"
48837,"Story of hope: a glimpse into a time when suffering will be no more","<001>Story of hope: a glimpse into a time when suffering will be no more\u001e<002>Ellen G. White\u001e<003>\u001e<004>White, Ellen G.\u001e<005>\u001e<006>\u001e<007>\u001e<008>\u001e<009>Mary Land, USA\u001e<0010>Philippine Publishing House\u001e<0011>2016\u001e<0012>\u001e<0013>126 p.\u001e<0014>\u001e<0015>18 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>9789715812610\u001e<0020>Devotional literature.;Religion.\u001e<0021>White, Ellen G.\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-REL 242.62 W5821 2016\u001e<0026>MLIB00024854;MLIB00024853;MLIB00024848;MLIB00024845\u001e<0027>ENGLISH\u001e<0028>CIRCULATION\u001e<0029>31076; 31079;31077;31078\u001e<0030>4\u001e<0031>4\u001e<0032>0\u001e<0033>The Rebellion -- The Creation -- The Tragedy -- The Solution -- The Liberation -- The Code -- The Deliverer -- The Sacrifice -- The Conquest -- The Power -- The Apostasy -- The Sanctuary -- The Deliverance -- The Sentence -- The New Beginning.\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>MLIB00024854.jpg\u001e","","yes","geo"
48841,"Ang kapangyarihan ng pag-asa: tagumpay laban sa depresyon, pagkabalisa, pagkakasala, at pagkapagod","<001>Ang kapangyarihan ng pag-asa: tagumpay laban sa depresyon, pagkabalisa, pagkakasala, at pagkapagod\u001e<002>Julian Melgosa and Michelson Borges\u001e<003>\u001e<004>Melgosa, Julian\u001e<005>\u001e<006>Borges,Michelson\u001e<007>\u001e<008>\u001e<009>Philippines\u001e<0010>Philippine Publishing House\u001e<0011>2018\u001e<0012>\u001e<0013>111 p.\u001e<0014>\u001e<0015>18 cm.\u001e<0016>\u001e<0017>\u001e<0018>\u001e<0019>9789715812764\u001e<0020>Devotional literature.;Religion.\u001e<0021>Melgosa, Julian; Borges,Michelson\u001e<0022>\u001e<0023>\u001e<0024>CIR;\u001e<0025>GC-REL 242 K171 2018\u001e<0026>MLIB00024851\u001e<0027>Filipino\u001e<0028>Circulation Section\u001e<0029>31072\u001e<0030>1\u001e<0031>1\u001e<0032>0\u001e<0033>Ang Kalusugan ay Pawang Nasa Isip Mo -- Pag-alala: Sobra-sobrang Hinaharap -- Depresyon: Sobra-sobrang Nakaraan -- Istres: Sobra-sobrang Kasalukuyan -- Mga Troma ng Isipan -- Alipin ng mga Adiksyon -- Pagkadama ng Pagkakasala -- Halimaw sa Loob Natin -- Mga Sikreto Mula sa Maylikha -- Ang Kapangyaihan ng Pag-asa.\u001e<0034>\u001e<0035>\u001e<0036>0\u001e<0037>\u001e<0038>\u001e<0039>Text\u001e<0040>Unmediated\u001e<0041>Volume\u001e<0042>MLIB00024851.jpg\u001e","","yes","geo"
